Case,Activity,Timestamp,Complete Timestamp,Resource
1.0,Application Receipt,2025-01-01 08:22:47,2025-01-01 08:38:52,LOAN OFFICER 1
1.0,Document Verification,,,Clerk 1
1.0,Credit Check,2025-01-01 09:37:27,2025-01-01 10:38:11,Credit Analyst 1
1.0,Risk Assessment,2025-01-01 11:23:55,2025-01-01 10:38:29,
1.0,Collateral Evaluation,2025-01-01 11:26:06,,Appraiser 1
1.0,Aproval Decision,,2025-01-01 13:18:24,Manager 1
1.0,Loan Agreement Preparation,2025-01-02 23:06:44,,
1.0,Loan Disbursement,2025-01-01 14:09:01,,
1.0,Case Closure,,,LoanOfficer1
2.0,Application Receipt,2025-01-02 05:05:32,2025-01-01 08:54:53,Loan Officer 1
,Document Verification,2025-01-01 08:58:15,,
2.0,Credit Check,2025-01-01 09:39:44,,Credit Analyst 1
2.0,Risk Assessment,2025-01-01 10:38:45,2025-01-01 11:24:26,Risk Analyst 1
2.0,Collateral Evaluation,02.01.2025 13:51,2025-01-01 12:29:30,
2.0,Approval Decision,2025-01-01 12:39:14,,Manager 1
2.0,Rejection Notification,01.01.2025 13:19,2025-01-01 13:07:02,Appraiser 1
2.0,Case Closure,,2025-01-01 13:38:23,
3.0,Application Receipt,,2025-01-01 09:01:30,Loan Officer 1
3.0,Document Verification,01/01/2025 09:02:17,2025-01-01 09:32:41,Clerk 1
3.0,Credit Check,2025-01-01 10:30:58,2025-01-01 09:35:28,Credit Analyst 1
,Risk Assessment,2025-01-01 10:37:20,2025-01-01 11:10:59,
3.0,Collateral Evaluation,2025-01-01 11:13:04,2025-01-01 12:57:31,Manager 1
3.0,Aproval Decision,2025-01-01 13:00:11,2025-01-01 13:33:11,Loan Officer 1
,Loan Agreement Preparation,,,Legal Advisor 1
3.0,Loan Disbursement,2025-01-01 14:20:23,,
3.0,Case Closure,2025-01-01 14:43:47,2025-01-01 14:52:00,loan officer 1
73897.0,Application Receipt,,,
,Document Verification,2025-01-01 09:34:24,2025-01-01 09:52:51,Clerk 1
73897.0,Credit Check,2025-01-01 09:53:11,,credit analyst 1
73897.0,Risk Assessment,2025-01-01 10:41:30,2025-01-01 11:28:44,Risk Analyst 1
73897.0,Aproval Decision,,2025-01-01 12:06:53,Manager 1
73897.0,Loan Agreement Preparation,2025-01-01 12:13:26,2025-01-01 12:52:21,Legal Advisor 1
73897.0,Loan Disbursement,2025-01-01 12:56:18,2025-01-01 13:21:04,Bank Teller 1
73897.0,Case Closure,2025-01-01 13:23:43,2025-01-01 13:32:01,Loan Officer 1
18764.0,Application Reciept,2025-01-01 09:34:32,2025-01-01 09:52:46,Credit Analyst 1
18764.0,Document Varification,2025-01-01 09:54:57,2025-01-01 10:20:07,
18764.0,Crdit Check,2025-01-01 10:30:06,,Credit Analyst 1
18764.0,Property Survey,,2025-01-01 11:55:05,RiskAnalyst1
18764.0,Collateral Evaluation,2025-01-01 11:56:10,2025-01-01 13:01:30,CREDIT ANALYST 1
18764.0,Approval Decision,2025-01-01 13:05:43,2025-01-01 13:23:05,MANAGER 1
,Loan Agreement Preparation,,2025-01-01 13:44:12,
18764.0,Loan Disbursement,,,
18764.0,Case Cloasure,2025-01-01 14:40:46,2025-01-01 14:30:29,Risk Analyst 1
38485.0,Application Receipt,2025-01-01 09:58:10,2025-01-01 10:12:42,loan officer 1
38485.0,Document Verification,2025/01/01 10:19:06,2025-01-01 10:55:38,Clerk 1
38485.0,Insurance Verification,2025-01-01 11:00:10,2025-01-01 11:58:26,
38485.0,Risk Assessment,,2025-01-01 12:53:32,Risk Analyst 1
,Approval Decision,2025-01-03 15:23:52,2025-01-01 13:20:15,Manager 1
38485.0,Loan Agreement Preparation,2025-01-04 02:48:18,2025-01-01 14:24:17,Legal Advisor 1
38485.0,Loan Disbursement,01/01/2025 14:27:16,,Bank Teller 1
38485.0,Case Closure,2025-01-01 14:48:23,2025-01-01 14:57:02,Credit Analyst 1
7.0,Application Receipt,,2025-01-01 10:32:30,Loan Officer 1
7.0,Document Verification,2025-01-01 10:32:30,,Clerk 1
7.0,Credit Check,2025-01-02 19:48:08,2025-01-01 12:03:12,Credit Analyst 1
7.0,Risk Assessmnt,,2025-01-01 12:56:12,Risk Analyst 1
,Approval Decision,2025-01-01 12:56:47,2025-01-01 13:17:18,Manager 1
7.0,Loan Agreement Preparation,2025-01-01 13:26:05,,LEGAL ADVISOR 1
