Case,Activity,Timestamp,Complete Timestamp,Resource
1,Application Receipt,2025-01-01 08:22:47,2025-01-01 08:38:52,Loan Officer 1
1,Document Verification,2025-01-01 08:45:38,2025-01-01 09:28:31,Clerk 1
1,Credit Check,2025-01-01 09:37:27,2025-01-01 10:38:11,Credit Analyst 1
1,Risk Assessment,2025-01-01 10:38:29,2025-01-01 11:23:55,Risk Analyst 1
1,Collateral Evaluation,2025-01-01 11:26:06,2025-01-01 12:51:28,Appraiser 1
1,Approval Decision,2025-01-01 12:53:27,2025-01-01 13:18:24,Manager 1
1,Loan Agreement Preparation,2025-01-01 13:24:54,2025-01-01 14:03:08,Legal Advisor 1
1,Loan Disbursement,2025-01-01 14:09:01,2025-01-01 14:28:02,Bank Teller 1
1,Case Closure,2025-01-01 14:36:08,2025-01-01 14:51:34,Loan Officer 1
2,Application Receipt,2025-01-01 08:39:35,2025-01-01 08:54:53,Loan Officer 1
2,Document Verification,2025-01-01 08:58:15,2025-01-01 09:31:16,Clerk 1
2,Credit Check,2025-01-01 09:39:44,2025-01-01 10:32:43,Credit Analyst 1
2,Risk Assessment,2025-01-01 10:38:45,2025-01-01 11:24:26,Risk Analyst 1
2,Collateral Evaluation,2025-01-01 11:29:48,2025-01-01 12:29:30,Appraiser 1
2,Approval Decision,2025-01-01 12:39:14,2025-01-01 12:58:44,Manager 1
2,Rejection Notification,2025-01-01 13:07:02,2025-01-01 13:19:40,Clerk 1
2,Case Closure,2025-01-01 13:25:51,2025-01-01 13:38:23,Loan Officer 1
3,Application Receipt,2025-01-01 08:50:30,2025-01-01 09:01:30,Loan Officer 1
3,Document Verification,2025-01-01 09:02:17,2025-01-01 09:32:41,Clerk 1
3,Credit Check,2025-01-01 09:35:28,2025-01-01 10:30:58,Credit Analyst 1
3,Risk Assessment,2025-01-01 10:37:20,2025-01-01 11:10:59,Risk Analyst 1
3,Collateral Evaluation,2025-01-01 11:13:04,2025-01-01 12:57:31,Appraiser 1
3,Approval Decision,2025-01-01 13:00:11,2025-01-01 13:33:11,Manager 1
3,Loan Agreement Preparation,2025-01-01 13:39:16,2025-01-01 14:18:40,Legal Advisor 1
3,Loan Disbursement,2025-01-01 14:20:23,2025-01-01 14:39:59,Bank Teller 1
3,Case Closure,2025-01-01 14:43:47,2025-01-01 14:52:00,Loan Officer 1
43739,Application Receipt,2025-01-01 09:13:18,2025-01-01 09:32:07,Loan Officer 1
43739,Document Verification,2025-01-01 09:34:24,2025-01-01 09:52:51,Clerk 1
43739,Credit Check,2025-01-01 09:53:11,2025-01-01 10:39:23,Credit Analyst 1
43739,Risk Assessment,2025-01-01 10:41:30,2025-01-01 11:28:44,Risk Analyst 1
43739,Approval Decision,2025-01-01 11:38:10,2025-01-01 12:06:53,Manager 1
43739,Loan Agreement Preparation,2025-01-01 12:13:26,2025-01-01 12:52:21,Legal Advisor 1
43739,Loan Disbursement,2025-01-01 12:56:18,2025-01-01 13:21:04,Bank Teller 1
43739,Case Closure,2025-01-01 13:23:43,2025-01-01 13:32:01,Loan Officer 1
5,Application Receipt,2025-01-01 09:34:32,2025-01-01 09:52:46,Loan Officer 1
5,Document Verification,2025-01-01 09:54:57,2025-01-01 10:20:07,Clerk 1
5,Credit Check,2025-01-01 10:30:06,2025-01-01 11:14:52,Credit Analyst 1
5,Risk Assessment,2025-01-01 11:15:20,2025-01-01 11:55:05,Risk Analyst 1
5,Collateral Evaluation,2025-01-01 11:56:10,2025-01-01 13:01:30,Appraiser 1
5,Approval Decision,2025-01-01 13:05:43,2025-01-01 13:23:05,Manager 1
5,Loan Agreement Preparation,2025-01-01 13:23:43,2025-01-01 13:44:12,Legal Advisor 1
5,Loan Disbursement,2025-01-01 13:49:29,2025-01-01 14:20:46,Bank Teller 1
5,Case Closure,2025-01-01 14:30:29,2025-01-01 14:40:46,Loan Officer 1
6,Application Receipt,2025-01-01 09:58:10,2025-01-01 10:12:42,Loan Officer 1
6,Document Verification,2025-01-01 10:19:06,2025-01-01 10:55:38,Clerk 1
6,Credit Check,2025-01-01 11:00:10,2025-01-01 11:58:26,Credit Analyst 1
6,Risk Assessment,2025-01-01 12:07:59,2025-01-01 12:53:32,Risk Analyst 1
6,Approval Decision,2025-01-01 12:58:33,2025-01-01 13:20:15,Manager 1
6,Loan Agreement Preparation,2025-01-01 13:22:02,2025-01-01 14:24:17,Legal Advisor 1
6,Loan Disbursement,2025-01-01 14:27:16,2025-01-01 14:41:59,Bank Teller 1
6,Case Closure,2025-01-01 14:48:23,2025-01-01 14:57:02,Loan Officer 1
7,Application Receipt,2025-01-01 10:18:57,2025-01-01 10:32:30,Loan Officer 1
7,Document Verification,2025-01-01 10:32:30,2025-01-01 11:01:47,Clerk 1
7,Credit Check,2025-01-01 11:11:05,2025-01-01 12:03:12,Credit Analyst 1
